rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
55,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,251,251,1827,1827,1576,1576,snapshot_2026_09_09.json,snapshot_2026_08_10.json
56,mod,intercity-hsr-trains,"Intercity, HSR & Express Metro Trains",danielloong714,danielloong714,https://github.com/danielloong714,250,250,250,250,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
57,map,greater-chicagoland,Greater Chicagoland,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,249,249,988,988,739,739,snapshot_2026_09_09.json,snapshot_2026_08_10.json
58,map,madrid,Madrid,Maximilian284,max02,https://github.com/Maximilian284,247,247,1633,1633,1386,1386,snapshot_2026_09_09.json,snapshot_2026_08_10.json
59,map,chongqing,Chongqing,Kronifer,Kronifer,https://github.com/Kronifer,246,246,923,923,677,677,snapshot_2026_09_09.json,snapshot_2026_08_10.json
60,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,244,244,2461,2461,2217,2217,snapshot_2026_09_09.json,snapshot_2026_08_10.json
61,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,239,239,1378,1378,1139,1139,snapshot_2026_09_09.json,snapshot_2026_08_10.json
62,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,235,235,2794,2794,2559,2559,snapshot_2026_09_09.json,snapshot_2026_08_10.json
63,map,vancouver,Vancouver,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,228,228,1936,1936,1708,1708,snapshot_2026_09_09.json,snapshot_2026_08_10.json
64,map,yukina-tw-kaohsiung,高雄 (Kaohsiung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,228,228,640,640,412,412,snapshot_2026_09_09.json,snapshot_2026_08_10.json
65,mod,tod,Transit-Oriented Development[beta],hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,221,221,2604,2604,2383,2383,snapshot_2026_09_09.json,snapshot_2026_08_10.json
66,mod,map-markers,Map Markers,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,219,219,1163,1163,944,944,snapshot_2026_09_09.json,snapshot_2026_08_10.json
67,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,217,217,697,697,480,480,snapshot_2026_09_09.json,snapshot_2026_08_10.json
68,map,yukina-tw-taichung,臺中 (Taichung),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,215,215,614,614,399,399,snapshot_2026_09_09.json,snapshot_2026_08_10.json
69,map,yukina-ua-kyiv,Київ / Kyiv,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,214,214,502,502,288,288,snapshot_2026_09_09.json,snapshot_2026_08_10.json
70,map,yukina-lt-kaunas,Kaunas,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,214,214,283,283,69,69,snapshot_2026_09_09.json,snapshot_2026_08_10.json
71,mod,penguin-approved-rolling-stock,Penguin-Approved Rolling Stock,prodigious-penguin,prodigious-penguin,https://github.com/prodigious-penguin,213,213,213,213,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
72,map,au-melbourne,Melbourne,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,204,204,499,499,295,295,snapshot_2026_09_09.json,snapshot_2026_08_10.json
73,mod,basedgoat-trains,BasedGoat Trains,arniber21,arniber21,https://github.com/arniber21,204,204,245,245,41,41,snapshot_2026_09_09.json,snapshot_2026_08_10.json
74,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,199,199,1885,1885,1686,1686,snapshot_2026_09_09.json,snapshot_2026_08_10.json
75,map,amsterdam,Amsterdam,ryandicicco,ryandicicco,https://github.com/ryandicicco,187,187,1727,1727,1540,1540,snapshot_2026_09_09.json,snapshot_2026_08_10.json
76,map,istanbul,Istanbul,pierreggt,pierreggt,https://github.com/pierreggt,183,183,507,507,324,324,snapshot_2026_09_09.json,snapshot_2026_08_10.json
77,map,au-syd2,Sydney,subway-builder-modded-admin,Subway Builder Modded,https://subwaybuildermodded.com,183,183,442,442,259,259,snapshot_2026_09_09.json,snapshot_2026_08_10.json
78,map,rhein-main-neckar,Frankfurt (Rhein-Main-Neckar),pierreggt,pierreggt,https://github.com/pierreggt,183,183,183,183,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
79,map,yukina-pl-poznan,Poznań,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,175,175,393,393,218,218,snapshot_2026_09_09.json,snapshot_2026_08_10.json
80,map,yukina-cz-ostrava,Ostrava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,173,173,470,470,297,297,snapshot_2026_09_09.json,snapshot_2026_08_10.json
81,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,171,171,2193,2193,2022,2022,snapshot_2026_09_09.json,snapshot_2026_08_10.json
82,map,sydney,Sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,171,171,1359,1359,1188,1188,snapshot_2026_09_09.json,snapshot_2026_08_10.json
83,map,yukina-pl-wroclaw,Wrocław,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,170,170,510,510,340,340,snapshot_2026_09_09.json,snapshot_2026_08_10.json
84,mod,lrt-trains,LRT Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,169,169,1131,1131,962,962,snapshot_2026_09_09.json,snapshot_2026_08_10.json
85,map,lyon,Lyon - Vallée du Rhône & Alpes,pierreggt,pierreggt,https://github.com/pierreggt,169,169,367,367,198,198,snapshot_2026_09_09.json,snapshot_2026_08_10.json
86,map,yukina-niigata,新潟 (Niigata),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,165,165,497,497,332,332,snapshot_2026_09_09.json,snapshot_2026_08_10.json
87,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,164,164,723,723,559,559,snapshot_2026_09_09.json,snapshot_2026_08_10.json
88,map,yukina-pl-lodz,Łódź,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,164,164,416,416,252,252,snapshot_2026_09_09.json,snapshot_2026_08_10.json
89,map,yukina-sk-bratislava,Bratislava,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,164,164,164,164,0,0,snapshot_2026_09_09.json,snapshot_2026_08_10.json
90,map,yukina-nagasaki,長崎 (Nagasaki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,162,162,468,468,306,306,snapshot_2026_09_09.json,snapshot_2026_08_10.json
91,map,yukina-shizuoka-hamamatsu,静岡・浜松 (Shizuoka/Hamamatsu),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,162,162,384,384,222,222,snapshot_2026_09_09.json,snapshot_2026_08_10.json
92,map,yukina-kitakyushu-shimonoseki,北九州・下関 (Kitakyūshū & Shimonoseki),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,161,161,565,565,404,404,snapshot_2026_09_09.json,snapshot_2026_08_10.json
