rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
74,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,11,11,159,159,148,148,snapshot_2026_09_07.json,snapshot_2026_08_31.json
75,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,11,11,154,154,143,143,snapshot_2026_09_07.json,snapshot_2026_08_31.json
76,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,11,11,145,145,134,134,snapshot_2026_09_07.json,snapshot_2026_08_31.json
77,pierreggt/subway-builder-ankara,subway-builder-ankara,pierreggt,pierreggt,https://github.com/pierreggt,1,11,11,138,138,127,127,snapshot_2026_09_07.json,snapshot_2026_08_31.json
78,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,11,11,107,107,96,96,snapshot_2026_09_07.json,snapshot_2026_08_31.json
79,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,11,11,94,94,83,83,snapshot_2026_09_07.json,snapshot_2026_08_31.json
80,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,11,11,93,93,82,82,snapshot_2026_09_07.json,snapshot_2026_08_31.json
81,giannons46/sofia-subway-builder-map,sofia-subway-builder-map,giannons46,giannons46,https://github.com/giannons46,1,10,10,169,169,159,159,snapshot_2026_09_07.json,snapshot_2026_08_31.json
82,soccerjonj/albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,9,9,232,232,223,223,snapshot_2026_09_07.json,snapshot_2026_08_31.json
83,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,8,8,619,619,611,611,snapshot_2026_09_07.json,snapshot_2026_08_31.json
84,hernang87/amba-buenos-aires-metropolitan-area-for-subway-builder,AMBA-Buenos-Aires-Metropolitan-Area-for-Subway-Builder,hernang87,hernang87,https://github.com/hernang87,1,8,8,142,142,134,134,snapshot_2026_09_07.json,snapshot_2026_08_31.json
85,jcpires/subway-builder-idf,subway-builder-idf,JcPires,JcPires,https://github.com/JcPires,1,8,8,93,93,85,85,snapshot_2026_09_07.json,snapshot_2026_08_31.json
86,pierreggt/subway-builder-antalya,subway-builder-antalya,pierreggt,pierreggt,https://github.com/pierreggt,1,8,8,89,89,81,81,snapshot_2026_09_07.json,snapshot_2026_08_31.json
