rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
78,nzh0172/sb-malaysia-map-pack-2,sb-malaysia-map-pack-2,nzh0172,naz,https://github.com/nzh0172,3,2,2,226,226,224,224,snapshot_2026_09_10.json,snapshot_2026_09_07.json,2,2,0,0
79,seanyushoumori/copy-paste,copy-paste,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,2,2,202,202,200,200,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,2,2
80,pierreggt/subway-builder-ankara,subway-builder-ankara,pierreggt,pierreggt,https://github.com/pierreggt,1,2,2,140,140,138,138,snapshot_2026_09_10.json,snapshot_2026_09_07.json,2,2,0,0
81,pierreggt/subway-builder-antalya,subway-builder-antalya,pierreggt,pierreggt,https://github.com/pierreggt,1,2,2,91,91,89,89,snapshot_2026_09_10.json,snapshot_2026_09_07.json,2,2,0,0
82,noahgarrf/unrusted-detroit,unrusted-detroit,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,2,2,2,2,0,0,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,2,2
83,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,1,1,1037,1037,1036,1036,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
84,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,1,1,383,383,382,382,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
85,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,1,380,380,379,379,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
86,barkuperman/jerusalem-sb-map,jerusalem-sb-map,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,1,1,278,278,277,277,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
87,arniber21/dantrains-abridged,dantrains-abridged,arniber21,arniber21,https://github.com/arniber21,1,1,1,245,245,244,244,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,1,1
88,pierreggt/subway-builder-bordeaux,subway-builder-bordeaux,pierreggt,pierreggt,https://github.com/pierreggt,1,1,1,225,225,224,224,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
89,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,191,191,190,190,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
90,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,-1,189,187,188,188,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,-1,0,0
91,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,1,156,156,155,155,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
92,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,151,151,150,150,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
93,jaytotheay/subwaybuilder-map,subwaybuilder-map,JayToTheAy,JayToTheAy,https://github.com/JayToTheAy,1,1,1,145,145,144,144,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
94,crumpetime/sb-maps-rdu,sb-maps-rdu,crumpetime,muffintime,https://github.com/crumpetime,1,1,1,142,142,141,141,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
95,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,104,104,103,103,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
96,jcpires/subway-builder-idf,subway-builder-idf,JcPires,JcPires,https://github.com/JcPires,1,1,1,94,94,93,93,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
97,bean1322/toledo-oh-map.git,toledo-oh-map.git,bean1322,bean1322,https://github.com/bean1322,1,1,1,91,91,90,90,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
98,bean1322/akron-oh-map,akron-oh-map,bean1322,bean1322,https://github.com/bean1322,1,1,1,90,90,89,89,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
99,nerdiesanders/subway-builder-spi,subway-builder-spi,NerdieSanders,NerdieSanders,https://github.com/NerdieSanders,1,1,1,50,50,49,49,snapshot_2026_09_10.json,snapshot_2026_09_07.json,1,1,0,0
100,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,0,0,14278,14278,14278,14278,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
101,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,0,0,2433,2433,2433,2433,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
102,imb11/move-it,move-it,IMB11,IMB11,https://github.com/IMB11,1,0,0,1255,1255,1255,1255,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
103,kaicardenas0618/subway-builder-peru,subway-builder-peru,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,9,0,0,795,795,795,795,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
104,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,0,0,610,610,610,610,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
105,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,363,363,363,363,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
106,soccerjonj/daytonnati,Daytonnati,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,357,357,357,357,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
107,metatablestudios/subwaybuilder-romania,subwaybuilder-romania,metatablestudios,metatablestudios,https://github.com/metatablestudios,1,0,0,314,314,314,314,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
108,soccerjonj/providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,0,0,241,241,241,241,snapshot_2026_09_10.json,snapshot_2026_09_07.json,0,0,0,0
